model,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean
Stacking Ensemble,0.884425559556788,0.0025288228193556194,0.5682671540846431,0.005383951334703368,0.4436136401979807,0.7903806688123299,0.8041018004777136
XGBoost (tuned),0.8840967370028577,0.002423798204616964,0.5756049490198218,0.005138333482033895,0.45916923740113125,0.7711560934950085,0.8145238415621648
LightGBM,0.8798980636219266,0.002941348486589813,0.556365083720094,0.005934403769254595,0.4250341154609513,0.8051576416673647,0.7905666013094299
Random Forest,0.8791810864004856,0.002820309761574239,0.4337364165150236,0.008103931622821695,0.7118829345267805,0.3119654113584744,0.8671695252981764
XGBoost,0.8748176547036113,0.0026647761801631364,0.5637947516197424,0.008206715861648155,0.4474261295917998,0.7619881565750758,0.8076725110988621
Tabular MLP,0.8724184205809982,0.0032454128990300987,0.4879367297831079,0.017365261107678408,0.6513725944296438,0.390913683775032,0.8663772509551168
