fold,rf_roc_auc,xgb_roc_auc,mlp_roc_auc,ensemble_roc_auc,ensemble_f1,ensemble_precision,ensemble_recall,ensemble_accuracy
1,0.8803217054263568,0.884602872777018,0.8738523939808481,0.8850857045143637,0.5734058329214039,0.44891640866873067,0.7934336525307798,0.807409060477572
2,0.8820587209302326,0.8872437870497035,0.8761603283173734,0.8875993616051072,0.5735130456287869,0.4491574665891923,0.7930916552667578,0.8075764338317339
3,0.8785930407695707,0.8839755762205659,0.8698451235649178,0.8841704315162202,0.5650147203140333,0.4404283801874163,0.7878891549777626,0.8021646953804954
4,0.8802949253050519,0.8841802143916069,0.8739512145056448,0.8847100239479986,0.5683073523996564,0.4431470137825421,0.7919945261717414,0.8037716900072532
5,0.8746370395712167,0.880442273919489,0.8682830425362071,0.880562276200251,0.5610948191593352,0.43641893176202246,0.7854943551146083,0.7995871226915137
