fold,roc_auc,f1,precision,recall,accuracy
1,0.8738523939808481,0.48769961156668107,0.6608187134502924,0.38645690834473323,0.8675518857397903
2,0.8761603283173734,0.5068695835975481,0.6635307138904262,0.4100547195622435,0.8698393215800044
3,0.8698451235649178,0.4620182668745823,0.6621966794380587,0.3547724940130003,0.865264449899576
4,0.8739512145056448,0.4828921885087153,0.6508120649651972,0.38385220663701675,0.8659264632037047
5,0.8682830425362071,0.5002039983680131,0.6195048004042446,0.41943209031816625,0.863304134352508
