mode,roc_auc_mean,roc_auc_std,f1_mean,f1_std
none,0.8775577240929133,0.002697703372803315,0.516012757999913,0.006676335599658309
weighted,0.8748176547036113,0.0026647761801631364,0.5637947516197424,0.008206715861648155
smote,0.8642105936130031,0.0007947701270239998,0.5263522112667419,0.006096434193223562
