fold,xgb_roc_auc,xgb_f1,xgb_precision,xgb_recall,xgb_accuracy,lgbm_roc_auc,lgbm_f1,lgbm_precision,lgbm_recall,lgbm_accuracy
1,0.8765647628818968,0.5723684210526315,0.4542168674698795,0.7735978112175103,0.8114260209774604,0.8811784655722754,0.5632469530233108,0.4306133526325312,0.813953488372093,0.7940749832626646
2,0.8782636114911082,0.5728835136855506,0.45629689718109917,0.7694938440492476,0.8128207989288105,0.8840457250341998,0.559971526871515,0.4287011807447775,0.8071135430916553,0.7930707431376924
3,0.8714409802261329,0.5555134520651762,0.4403283940728875,0.7523092712966131,0.8036710555679536,0.8775708600838402,0.5486767485822306,0.41905793178126693,0.7943893260348956,0.7868779290336978
4,0.874370737826434,0.5596977329974812,0.44289415985648795,0.7601778994184057,0.8049433688556603,0.8800119739993157,0.5579207338586382,0.425089605734767,0.8114950393431406,0.7902694861351336
5,0.8734481810924849,0.5585106382978723,0.4433943293786447,0.7543619568936024,0.8055013111644256,0.8766832934200022,0.5520094562647754,0.4217085064114141,0.7988368114950394,0.7885398649779612
