fold,roc_auc,f1,precision,recall,accuracy
1,0.8803217054263568,0.42983504661726035,0.7140587768069897,0.3074555403556772,0.8669381834411961
2,0.8820587209302326,0.442225392296719,0.7254290171606864,0.3180574555403557,0.8691140370453024
3,0.8785930407695707,0.43037974683544306,0.7128164556962026,0.30824495381457406,0.8669381834411961
4,0.8802949253050519,0.42408251379227635,0.709470304975923,0.3024290112897708,0.8660380516654578
5,0.8746370395712167,0.442159383033419,0.6976401179941003,0.32364009579199454,0.8668191708977292
